	cc_ID	price_close	price_high	price_low	price_open	time_period_end	time_period_start	trades_count	volume_traded	name
70	71	0.03381	0.035	0.03315	0.03343	2017-04-16T00:00:00.0000000Z	2017-04-15T00:00:00.0000000Z	232	2797799.41395032	XRP
71	72	0.03306	0.03395	0.03251	0.03356	2017-04-17T00:00:00.0000000Z	2017-04-16T00:00:00.0000000Z	303	3295953.34647833	XRP
72	73	0.03333	0.03386	0.03246	0.03274	2017-04-18T00:00:00.0000000Z	2017-04-17T00:00:00.0000000Z	182	2096295.95139297	XRP
73	74	0.03281	0.03419	0.0322	0.03311	2017-04-19T00:00:00.0000000Z	2017-04-18T00:00:00.0000000Z	467	9825879.13511135	XRP
74	75	0.03035	0.03319	0.02816	0.03272	2017-04-20T00:00:00.0000000Z	2017-04-19T00:00:00.0000000Z	777	12887583.149978958	XRP
75	76	0.02999	0.03104	0.02643	0.02954	2017-04-21T00:00:00.0000000Z	2017-04-20T00:00:00.0000000Z	1331	23461824.93025467	XRP
76	77	0.03355	0.0347	0.02945	0.02994	2017-04-22T00:00:00.0000000Z	2017-04-21T00:00:00.0000000Z	1369	20716205.95970341	XRP
77	78	0.0316	0.03401	0.03033	0.03302	2017-04-23T00:00:00.0000000Z	2017-04-22T00:00:00.0000000Z	361	6356628.200839429	XRP
78	79	0.03141	0.03214	0.03102	0.0316	2017-04-24T00:00:00.0000000Z	2017-04-23T00:00:00.0000000Z	155	2427946.13566513	XRP
79	80	0.03151	0.032	0.0309	0.0315	2017-04-25T00:00:00.0000000Z	2017-04-24T00:00:00.0000000Z	239	3943076.14007657	XRP
80	81	0.03224	0.03421	0.03108	0.03132	2017-04-26T00:00:00.0000000Z	2017-04-25T00:00:00.0000000Z	728	10300819.57732823	XRP
81	82	0.03275	0.03392	0.03251	0.03259	2017-04-27T00:00:00.0000000Z	2017-04-26T00:00:00.0000000Z	597	9292451.34612142	XRP
82	83	0.03523	0.0368	0.03225	0.03292	2017-04-28T00:00:00.0000000Z	2017-04-27T00:00:00.0000000Z	905	13627092.81989492	XRP
83	84	0.045	0.04612	0.03487	0.03528	2017-04-29T00:00:00.0000000Z	2017-04-28T00:00:00.0000000Z	2754	45342270.83059291	XRP
84	85	0.05383	0.05952	0.04499	0.04499	2017-04-30T00:00:00.0000000Z	2017-04-29T00:00:00.0000000Z	2415	37098759.464065	XRP
85	86	0.05218	0.05499	0.04902	0.0536	2017-05-01T00:00:00.0000000Z	2017-04-30T00:00:00.0000000Z	939	11574127.23633206	XRP
86	87	0.05383	0.05811	0.04903	0.0517	2017-05-02T00:00:00.0000000Z	2017-05-01T00:00:00.0000000Z	2205	28911691.04730709	XRP
87	88	0.05382	0.05527	0.0505	0.05415	2017-05-03T00:00:00.0000000Z	2017-05-02T00:00:00.0000000Z	1060	13482579.43463832	XRP
88	89	0.06108	0.06199	0.05245	0.05358	2017-05-04T00:00:00.0000000Z	2017-05-03T00:00:00.0000000Z	4820	28234094.26087347	XRP
89	90	0.08	0.08793	0.06	0.06088	2017-05-05T00:00:00.0000000Z	2017-05-04T00:00:00.0000000Z	9793	82044377.29732823	XRP
90	91	0.09139	0.105	0.07776	0.08	2017-05-06T00:00:00.0000000Z	2017-05-05T00:00:00.0000000Z	6957	67779683.04447132	XRP
91	92	0.1001	0.1039	0.09029	0.09029	2017-05-07T00:00:00.0000000Z	2017-05-06T00:00:00.0000000Z	2819	23429118.22627751	XRP
92	93	0.13911	0.155	0.09725	0.10118	2017-05-08T00:00:00.0000000Z	2017-05-07T00:00:00.0000000Z	5929	55057377.48865881	XRP
93	94	0.1917	0.22395	0.1121	0.139	2017-05-09T00:00:00.0000000Z	2017-05-08T00:00:00.0000000Z	14398	93469265.42312546	XRP
94	95	0.15638	0.207	0.112	0.1917	2017-05-10T00:00:00.0000000Z	2017-05-09T00:00:00.0000000Z	5816	49824389.25028308	XRP
95	96	0.18695	0.19795	0.151	0.15638	2017-05-11T00:00:00.0000000Z	2017-05-10T00:00:00.0000000Z	3827	25777230.40276685	XRP
96	97	0.18372	0.19735	0.16183	0.18699	2017-05-12T00:00:00.0000000Z	2017-05-11T00:00:00.0000000Z	4155	22598093.55366379	XRP
97	98	0.20688	0.21	0.1806	0.18478	2017-05-13T00:00:00.0000000Z	2017-05-12T00:00:00.0000000Z	3312	20434515.476843387	XRP
98	99	0.21022	0.222	0.1951	0.20365	2017-05-14T00:00:00.0000000Z	2017-05-13T00:00:00.0000000Z	3075	17393866.04101173	XRP
99	100	0.21714	0.22	0.20755	0.2106	2017-05-15T00:00:00.0000000Z	2017-05-14T00:00:00.0000000Z	1358	6314896.568161919	XRP
