	measurement_ID	price_close	price_high	price_low	price_open	time_period_end	time_period_start	trades_count	volume_traded	name
43	44	659.1	664.93	650.01	652.24	2016-07-15T00:00:00.0000000Z	2016-07-14T00:00:00.0000000Z	3098	2392.43467683	BTC
44	45	664.6	670.01	658.41	660.3	2016-07-16T00:00:00.0000000Z	2016-07-15T00:00:00.0000000Z	3117	3228.34264303	BTC
45	46	662.45	666.67	655.0	664.6	2016-07-17T00:00:00.0000000Z	2016-07-16T00:00:00.0000000Z	1687	1682.67647056	BTC
46	47	679.54	684.19	661.35	662.45	2016-07-18T00:00:00.0000000Z	2016-07-17T00:00:00.0000000Z	3094	3437.77012475	BTC
47	48	672.1	682.21	666.12	679.54	2016-07-19T00:00:00.0000000Z	2016-07-18T00:00:00.0000000Z	2732	3012.20623456	BTC
48	49	673.48	675.81	666.0	673.45	2016-07-20T00:00:00.0000000Z	2016-07-19T00:00:00.0000000Z	2022	1904.43446142	BTC
49	50	667.03	675.0	660.0	674.8	2016-07-21T00:00:00.0000000Z	2016-07-20T00:00:00.0000000Z	2380	3418.62509416	BTC
50	51	663.99	667.1	660.1	667.01	2016-07-22T00:00:00.0000000Z	2016-07-21T00:00:00.0000000Z	3234	2503.04270767	BTC
51	52	649.95	666.3	645.0	663.25	2016-07-23T00:00:00.0000000Z	2016-07-22T00:00:00.0000000Z	4002	5191.55506577	BTC
52	53	655.52	656.77	646.0	647.88	2016-07-24T00:00:00.0000000Z	2016-07-23T00:00:00.0000000Z	2154	1284.52223933	BTC
53	54	661.47	665.0	651.99	655.52	2016-07-25T00:00:00.0000000Z	2016-07-24T00:00:00.0000000Z	2508	1427.97990306	BTC
54	55	654.96	661.99	652.28	659.64	2016-07-26T00:00:00.0000000Z	2016-07-25T00:00:00.0000000Z	2977	2441.94401025	BTC
55	56	651.24	656.94	645.01	655.0	2016-07-27T00:00:00.0000000Z	2016-07-26T00:00:00.0000000Z	4931	3552.82907397	BTC
56	57	653.48	659.98	646.31	651.22	2016-07-28T00:00:00.0000000Z	2016-07-27T00:00:00.0000000Z	4113	2664.94311137	BTC
57	58	653.07	657.89	652.41	655.13	2016-07-29T00:00:00.0000000Z	2016-07-28T00:00:00.0000000Z	2715	1896.1054278	BTC
58	59	654.61	657.48	653.0	654.84	2016-07-30T00:00:00.0000000Z	2016-07-29T00:00:00.0000000Z	2187	1297.14816627	BTC
59	60	654.67	657.5	652.19	654.88	2016-07-31T00:00:00.0000000Z	2016-07-30T00:00:00.0000000Z	1036	719.15982547	BTC
60	61	623.83	654.71	614.97	654.02	2016-08-01T00:00:00.0000000Z	2016-07-31T00:00:00.0000000Z	4775	4933.11939038	BTC
