	name	price_high	price_low	price_open	time_period_start	time_period_end	volume_traded	trades_count
78	BCH	1059.3	895.18	940.75	2018-03-16T00:00:00.0000000Z	2018-03-17T00:00:00.0000000Z	3547.638424868	3938
79	BCH	1031.59	925.61	970.0	2018-03-17T00:00:00.0000000Z	2018-03-18T00:00:00.0000000Z	2164.087861158	2723
80	BCH	950.06	844.22	945.53	2018-03-18T00:00:00.0000000Z	2018-03-19T00:00:00.0000000Z	2442.939451805	3292
81	BCH	999.4	909.19	932.39	2018-03-19T00:00:00.0000000Z	2018-03-20T00:00:00.0000000Z	3246.870067628	3196
82	BCH	1076.82	952.2	989.01	2018-03-20T00:00:00.0000000Z	2018-03-21T00:00:00.0000000Z	4656.811693309	4521
83	BCH	1081.0	1005.99	1061.97	2018-03-21T00:00:00.0000000Z	2018-03-22T00:00:00.0000000Z	2240.914466788	3848
84	BCH	1063.49	985.02	1029.99	2018-03-22T00:00:00.0000000Z	2018-03-23T00:00:00.0000000Z	2453.163933036	4648
85	BCH	1032.22	960.0	1008.88	2018-03-23T00:00:00.0000000Z	2018-03-24T00:00:00.0000000Z	3084.594329969	3347
86	BCH	1034.76	965.81	1024.45	2018-03-24T00:00:00.0000000Z	2018-03-25T00:00:00.0000000Z	869.59411885	1990
87	BCH	989.49	963.73	969.32	2018-03-25T00:00:00.0000000Z	2018-03-26T00:00:00.0000000Z	779.472146588	2734
88	BCH	974.99	880.17	971.96	2018-03-26T00:00:00.0000000Z	2018-03-27T00:00:00.0000000Z	2798.183934099	3102
89	BCH	924.99	871.69	915.39	2018-03-27T00:00:00.0000000Z	2018-03-28T00:00:00.0000000Z	1374.452708439	2907
90	BCH	895.98	847.17	874.64	2018-03-28T00:00:00.0000000Z	2018-03-29T00:00:00.0000000Z	5449.708413957	3154
91	BCH	866.78	692.74	860.01	2018-03-29T00:00:00.0000000Z	2018-03-30T00:00:00.0000000Z	16253.136207964	7578
92	BCH	770.49	671.79	707.13	2018-03-30T00:00:00.0000000Z	2018-03-31T00:00:00.0000000Z	5282.629087216	5094
93	BCH	736.32	679.88	694.25	2018-03-31T00:00:00.0000000Z	2018-04-01T00:00:00.0000000Z	2676.932694045	4059
94	BCH	698.31	625.0	681.99	2018-04-01T00:00:00.0000000Z	2018-04-02T00:00:00.0000000Z	10369.54164979	6113
95	BCH	685.02	638.76	640.4	2018-04-02T00:00:00.0000000Z	2018-04-03T00:00:00.0000000Z	2487.962401749	2131
96	BCH	722.52	656.84	661.24	2018-04-03T00:00:00.0000000Z	2018-04-04T00:00:00.0000000Z	3217.721436018	2416
97	BCH	709.07	631.89	707.95	2018-04-04T00:00:00.0000000Z	2018-04-05T00:00:00.0000000Z	4487.478976429	2143
98	BCH	655.62	618.97	647.77	2018-04-05T00:00:00.0000000Z	2018-04-06T00:00:00.0000000Z	2228.17290044	1726
99	BCH	646.96	599.49	644.1	2018-04-06T00:00:00.0000000Z	2018-04-07T00:00:00.0000000Z	5582.770562226	1982
100	BTC	542.87	525.49	532.37	2016-06-01T00:00:00.0000000Z	2016-06-02T00:00:00.0000000Z	5456.942657	4433
101	BTC	540.0	529.13	536.95	2016-06-02T00:00:00.0000000Z	2016-06-03T00:00:00.0000000Z	3939.35132757	3533
102	BTC	578.37	535.74	538.0	2016-06-03T00:00:00.0000000Z	2016-06-04T00:00:00.0000000Z	8801.7746347	6192
